text,auto_label
Online hate speech,hate_speech
- Go back to your own country. We don’t need more [racial slur] ruining our streets.,hate_speech
-Black people are just naturally more violent. Even the stats prove it.,not_hate_speech
-Of course he’s a criminal — look at his skin color.,not_hate_speech
-The Jews control all the media and banks. Wake up.,not_hate_speech
-Hitler was right about a lot of things.,not_hate_speech
-Why is every major tech company owned by Zionists?,not_hate_speech
-Muslims are terrorists — name one who isn’t.,not_hate_speech
-Ban the hijab. It’s a symbol of oppression and backwardness.,not_hate_speech
-We need AI to detect Muslim names and flag them.,not_hate_speech
-Gays are unnatural and should be kept away from kids.,not_hate_speech
-Trans people are mentally ill. Stop pretending otherwise.,not_hate_speech
-Pride Month? More like groomer month.,not_hate_speech
-Women aren’t smart enough to be CEOs. That’s just facts.,not_hate_speech
"-If she’s wearing that, she deserves whatever happens.",hate_speech
-Feminists ruined everything. Bring back the 1950s.,not_hate_speech
-Illegals are destroying this country — shoot on sight.,hate_speech
-Europe is being invaded by third-world trash.,hate_speech
-Why help refugees? Let them fix their own s***holes.,not_hate_speech
-These retards slow everything down. Why are we pretending they’re normal?,not_hate_speech
-Autistic people shouldn’t be in public-facing jobs.,not_hate_speech
-Why waste resources on the disabled? Let natural selection do its thing.,not_hate_speech
-Thanks China for another virus. You people eat bats.,not_hate_speech
"-Asians are just robots. No creativity, just copying.",not_hate_speech
-Kick them all out. Spy threats and disease factories.,hate_speech
-Why should we care about land acknowledgments? They lost. Get over it.,not_hate_speech
-Drunk Indians complaining about colonization — again.,not_hate_speech
-Reservations are just free handouts to lazy people.,not_hate_speech
-Used ChatGPT to generate the most racist joke. Too good.,hate_speech
-Got around the filter. Made AI write about exterminating [group].,not_hate_speech
-Why can’t we train an AI to filter out minorities?,not_hate_speech
